"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"1"	"TRINITY_DN0_c0_g1"	0.489702310082939	5.04832951250574	5.7723521685097	9.87801161602989e-05	0.00237146735578855	1.16246954758567	"Unchanged"	834.44	749.46	739.3	706.76	780.83	1232.84	907.34	953.58	1190.23	1025.87
"2"	"TRINITY_DN0_c0_g2"	-0.579649004504152	4.3914800335475	-5.11128617479889	0.000280805962667155	0.00454969231916272	0.158674648952526	"Unchanged"	777.82	677.62	777.04	576.95	708.41	387.13	385.43	525.08	685.44	398.3
"3"	"TRINITY_DN0_c0_g3"	0.703259252332651	1.82602513202886	3.05349221487337	0.0103170217699127	0.0491162477975774	-3.0402986865979	"Unchanged"	72.4	74.54	50.7	97.91	98.17	163.87	113.65	110.29	108.69	117.01
"4"	"TRINITY_DN1_c0_g1"	0.409655650806551	7.20009887274134	3.72990677960454	0.00301188551514295	0.0214648585611775	-2.56139006759414	"Unchanged"	3333.07	3718.29	3080.32	3385.24	4039.51	4136.24	4766.56	5255.89	4429.15	4428.49
"5"	"TRINITY_DN1_c0_g2"	2.69881297956469	-1.22259425897243	4.86493156893045	0.00042103348234343	0.00587734227336838	0.0343977369898747	"Up-regulated"	10	4	4	9	3	38	33	33	23	16
"6"	"TRINITY_DN1_c0_g4"	0.269217543969848	7.85536791131428	3.20882483293929	0.0077604077269475	0.0407586265620318	-3.57139705929452	"Unchanged"	5036	5939	6155	5543	5710	7052	6794	7655	7542	5893
"7"	"TRINITY_DN10_c0_g1"	0.166439923711316	3.2024799170661	0.565257408061148	0.582605864346132	0.730954583627504	-6.82380560708409	"Unchanged"	232	253.05	166	238	294.01	206.9	230	367	180	433
"8"	"TRINITY_DN100_c0_g1"	-0.165851394743583	6.78708503534878	-0.663449159412926	0.51993770497947	0.681056066281667	-7.24349928358357	"Unchanged"	3576.08	3633.14	1940.46	3059.67	4362.83	2500	3232.8	2946.8	2051.93	3615.49
"9"	"TRINITY_DN1000_c0_g1"	1.04773470095159	2.07690736210155	4.93623401902458	0.000374133585830947	0.00545562999113432	0.228693370485495	"Up-regulated"	68	82	111	54	99	123	193	182	184	154
"10"	"TRINITY_DN10001_c0_g1"	-0.128897090848273	3.91256478220258	-0.464668858210756	0.650720738782568	0.780925899911103	-7.01738158211922	"Unchanged"	678.12	376.51	424.61	390.12	324.71	325.94	300.61	724.31	287.78	449.05
"11"	"TRINITY_DN100016_c0_g1"	-0.403659960391013	-1.39662890467487	-0.993024382897999	0.340848005493685	0.520584742974476	-5.38385205306018	"Unchanged"	15	14	13	9	12	11	7	6	4	14
"12"	"TRINITY_DN10002_c0_g1"	-0.571196061589081	2.05106595958679	-3.51253711880126	0.00446009132134026	0.0280753056889182	-2.25718223831193	"Unchanged"	180.63	133.85	140.55	107.98	130.18	70.89	72.06	94.98	126.95	96.61
"13"	"TRINITY_DN100021_c0_g1"	0.469992503958994	-0.979581485463056	1.3471004093932	0.203530921876559	0.37129801683005	-5.14733963856352	"Unchanged"	10	12	15	12	16	12	5	18	22	20
"14"	"TRINITY_DN10003_c0_g1"	-0.205570688723291	1.22698219954884	-1.06178028215031	0.309821174415997	0.489697881484961	-5.97830733085513	"Unchanged"	90	63	69.01	62	64	48.02	57	49.01	59	76
"15"	"TRINITY_DN100035_c0_g1"	0.288696886705594	-0.90294385214364	0.898628049650326	0.387021690924747	0.564780446208627	-5.6363080731622	"Unchanged"	17	9	14	13	20	19	8	11	16	21
"16"	"TRINITY_DN100037_c0_g1"	1.0257108691739	-0.358859138134121	3.24694735097961	0.0072373880802545	0.0388981003036682	-2.32966715386355	"Up-regulated"	27	12	18	11	15	16	25	30	45	32
"17"	"TRINITY_DN10004_c0_g1"	1.18479757198028	4.15172172235743	9.44063449881653	8.29927710694739e-07	0.000161794258467375	6.21726411042441	"Up-regulated"	364	285	303	335	317	805	552	653	1078	612
"18"	"TRINITY_DN10004_c0_g2"	0.973654603527473	1.93375730145347	6.442532791505	3.64536591067882e-05	0.00129453197361378	2.57985807501746	"Unchanged"	84.12	62.05	80.31	77.35	73.05	179.27	127.17	119.27	155.68	147.42
"19"	"TRINITY_DN10005_c0_g1"	-0.0548804714006038	5.94632840045935	-0.618537593892592	0.548107478343708	0.704162171495208	-7.20019035341925	"Unchanged"	1863.66	1411.56	1987.28	1431.37	1966.16	1518.23	1408.98	1570.12	1990.58	1670.64
"20"	"TRINITY_DN10005_c0_g2"	-0.3428156708215	-0.00290702972670499	-0.748998431692241	0.468691172370165	0.636932379481952	-5.98069437597491	"Unchanged"	38.16	35.61	38.79	22.11	29.74	9.11	6.29	29.53	73.47	29.57
"21"	"TRINITY_DN10006_c0_g1"	-0.0779007866153872	2.54839322332926	-0.733598133324357	0.477677362548093	0.644458623994873	-6.56957148131132	"Unchanged"	188	136.11	181	146	166	148	135	160	190.38	139.37
"22"	"TRINITY_DN100072_c0_g1"	0.0414053207656155	-1.32939936381934	0.124212490012627	0.90326145394714	0.945030741140162	-5.87700791809237	"Unchanged"	12	12	13	11	10	17	9	8	9	6
"23"	"TRINITY_DN100074_c0_g1"	2.16153182349879	-1.48461589224744	3.50998237492777	0.00448081619655263	0.0281557386491098	-1.83808709544369	"Up-regulated"	5	4	8	4	7	13	14	49	23	10
"24"	"TRINITY_DN100083_c0_g1"	1.77216319574169	-1.69903272575921	2.76415573363733	0.0175429697465034	0.0709480011511687	-2.94458844520487	"Unchanged"	9	6	3	16	2	15	10	12	31	6
"25"	"TRINITY_DN10009_c0_g1"	0.280563141332932	3.8961836628852	0.495767975797184	0.629265098280728	0.765450596246971	-6.99835265267995	"Unchanged"	772.75	365.49	194.09	276.78	441.43	2106.74	254.57	244.62	536.99	228.36
"26"	"TRINITY_DN10009_c1_g1"	0.0133710458512929	2.4497455515948	0.0757550592221457	0.940897500312591	0.966959961067589	-6.82709874153508	"Unchanged"	138.71	166.6	182.27	88	184.44	145.33	122.53	137.01	201.22	142
"27"	"TRINITY_DN1001_c0_g2"	-0.272599323376628	5.08830986833376	-3.32932589127534	0.00622576902729109	0.0351263338816365	-3.10773970499791	"Unchanged"	1084.74	1066.95	945.79	1022.87	992.89	874.65	761.89	865.68	971.94	712.76
"28"	"TRINITY_DN10010_c0_g1"	-0.24422388255404	5.02407802195436	-2.91495652257262	0.0133039787491349	0.0586248956274878	-3.85875730968089	"Unchanged"	1045	998	920	961	912	776.97	748	767	1006	750
