"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","10L1brain","10L2brain","10L3brain","10L4brain","10L5brain","22L1brain","22L2brain","22L3brain","22L4brain","22L5brain"
"1","TRINITY_DN1_c0_g2",2.69881297956469,-1.22259425897243,4.86493156893045,0.00042103348234343,0.00587734227336838,0.0343977369898747,10,4,4,9,3,38,33,33,23,16
"2","TRINITY_DN1000_c0_g1",1.04773470095159,2.07690736210155,4.93623401902458,0.000374133585830947,0.00545562999113432,0.228693370485495,68,82,111,54,99,123,193,182,184,154
"3","TRINITY_DN100037_c0_g1",1.0257108691739,-0.358859138134121,3.24694735097961,0.0072373880802545,0.0388981003036682,-2.32966715386355,27,12,18,11,15,16,25,30,45,32
"4","TRINITY_DN10004_c0_g1",1.18479757198028,4.15172172235743,9.44063449881653,8.29927710694739e-07,0.000161794258467375,6.21726411042441,364,285,303,335,317,805,552,653,1078,612
"5","TRINITY_DN100074_c0_g1",2.16153182349879,-1.48461589224744,3.50998237492777,0.00448081619655263,0.0281557386491098,-1.83808709544369,5,4,8,4,7,13,14,49,23,10
"6","TRINITY_DN10014_c2_g1",-1.53518908793511,-0.23927654258785,-3.80249049952065,0.00264420791094947,0.01967995518397,-1.38569302194028,54.87,33.21,63.7,17.63,51.71,7.16,9.28,8.13,26.3,13.34
"7","TRINITY_DN10032_c2_g1",1.82690057751169,1.50816535037056,9.54390924396357,7.40932432695553e-07,0.000152651727070999,6.32343830421317,39.83,45.74,46.07,37.72,44.4,128.3,129.6,130.29,238.07,115.04
"8","TRINITY_DN10040_c0_g1",1.18758487290682,2.8382119954068,7.97964857387244,4.61913581446708e-06,0.000390730040567152,4.5792136360135,131.34,146.93,103.67,150.38,121.96,296.74,294.14,304.93,349.04,224.5
"9","TRINITY_DN100445_c0_g1",-1.36666258973052,-1.02850235569375,-3.95025391281275,0.00203176686534531,0.0165681906406292,-1.11536267952853,19.34,22.09,30.24,14.12,29.24,6.14,4.02,5.15,8.07,11.06
"10","TRINITY_DN100459_c0_g1",2.66708311792486,-1.47000431554749,3.51702461162393,0.00442392412486363,0.0279337888408936,-1.85333855943836,6,11,11,3,1,51,11,25,20,19
"11","TRINITY_DN10049_c1_g2",1.30505967900864,-1.02635940373127,3.25572146690523,0.00712214907944111,0.0385146958222192,-2.22169403135594,7.62,6.44,6.92,11.69,18.74,28.24,18.25,22.22,16.78,12.29
"12","TRINITY_DN10055_c2_g1",-1.39608591104536,-1.21242421885243,-3.74185470034616,0.00294792567578483,0.0211837844082181,-1.44711669246508,23,15,22,27,18,10,3,4,10,4
"13","TRINITY_DN100604_c0_g1",1.60878686643042,-1.05099247240163,3.22774747362583,0.00749618606981474,0.0398551001463326,-2.258750623531,5,9,7,17,9,14,36,24,27,11
"14","TRINITY_DN100669_c0_g1",-3.15727554198867,-1.80198170532005,-4.09590240399197,0.00157059808980837,0.0139928584279717,-1.22490909703482,29.37,34.41,26.84,26.96,12.45,2.11,0,3.11,2.1,3.08
"15","TRINITY_DN1007_c0_g4",4.32112711969401,-2.52215064598913,7.42529636806977,9.41077730108515e-06,0.00057772188282542,1.76675647910752,2.39,0,1.19,1.19,0,19.48,23.28,21.73,18.12,14.73
"16","TRINITY_DN1007_c2_g1",1.18631144695472,3.40754161889676,6.5142665335359,3.28833471618226e-05,0.00121176025438936,2.51978899584368,183.86,201.29,245.94,154.68,179.55,480.92,241.8,523.17,594.25,412.98
"17","TRINITY_DN10079_c0_g1",1.98841446273387,-1.09515712927268,5.58200492842937,0.000132609469040957,0.00284078835392151,1.11197010523044,5.66,6.3,6.25,7.1,11.31,34.04,14.18,21.31,30.69,19.45
"18","TRINITY_DN10097_c2_g2",-3.13781716564783,-0.114922449317948,-7.64684793865699,7.05077867538283e-06,0.000497404543362837,3.65940706088775,84.53,87.82,94.98,64.61,60.26,16.05,1,12,10,4
"19","TRINITY_DN10097_c5_g1",1.91766131006848,-1.01350918597804,3.75877052476879,0.00285975094295122,0.0207642121930396,-1.41792300511883,7.54,12.43,3.6,6.22,10.89,34.16,16.05,48.68,17.89,15.92
"20","TRINITY_DN10099_c2_g1",-1.29641264113099,0.267307478304606,-3.80394925570512,0.00263731145581622,0.0196393766967826,-1.44880836541742,67,57,84,35,37,30,7,25,29,13
"21","TRINITY_DN101063_c0_g1",-1.87275375425248,-1.28650359405115,-3.18382023476185,0.00812405011285483,0.0420242893169769,-2.31392386080174,14,14,45,18,33,2,5,3,6,9
"22","TRINITY_DN10116_c1_g1",1.45003968045621,-0.454822551755857,3.26979474476637,0.006941177624578,0.0378104749302375,-2.26132982458455,9,10.04,21.11,15.91,13,57.02,10,32.57,34,37
