"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"1"	"TRINITY_DN0_c0_g1"	0.422756264935632	7.22942566996674	3.91306219747755	0.00194207892867071	0.0155531663985576	-2.11741965004842	"Unchanged"	3272	3536	2924	3235	3989	4085	4553	5235	4307	4333
"2"	"TRINITY_DN0_c1_g1"	2.82341549399699	-1.17344408972138	5.3241182708911	0.000162198707393315	0.00289305622886544	0.834374576759768	"Up-regulated"	10	4	4	8	2	39	33	34	25	16.79
"3"	"TRINITY_DN1_c0_g1"	0.333966078645491	8.94822996296698	0.885781858444848	0.392594965880136	0.567354750674622	-7.18266860688434	"Unchanged"	17031.73	16741.79	4347.96	16946.56	8738.9	17837.55	19334.75	13251.21	16185.91	8170.69
"4"	"TRINITY_DN1_c0_g2"	-0.344828421174541	12.5130528900547	-2.35164117532945	0.0359855094781112	0.113701711497799	-5.32382909008889	"Unchanged"	151981.23	140292.08	188823.56	143612.86	162423.54	146808.97	108451.27	148116.21	165637.53	123328.57
"5"	"TRINITY_DN1_c0_g3"	0.41839432874018	5.59416073302418	1.14129641257569	0.27531621224676	0.449436429782827	-6.68016030462468	"Unchanged"	1756.02	1617.51	452.61	1467.24	790.29	1908.28	1862.68	1399.81	1421.9	827.06
"6"	"TRINITY_DN1_c1_g1"	0.00956951194822822	6.23584446187173	0.133144129251067	0.89621653052325	0.940216850519539	-7.39434342022491	"Unchanged"	1989.35	1861.04	2019.28	1943.81	1955.24	2170.22	1621.92	1973.4	2089.78	1843.46
"7"	"TRINITY_DN1_c2_g1"	-0.795434183207153	4.62022639219018	-6.14327759607031	4.33966033937017e-05	0.00129111813572176	2.03133285823386	"Unchanged"	745.69	743.93	1111.5	665.21	1003.21	551.68	388.31	510.13	632.46	368.7
"8"	"TRINITY_DN1_c3_g1"	0.271062222976312	1.29712595741282	1.27941686782189	0.224180445403974	0.391757842986691	-5.73503040754717	"Unchanged"	55.23	54.8	65.61	71.08	53.19	64	55.2	86.69	105.2	40.98
"9"	"TRINITY_DN10_c0_g1"	-0.744950546906673	8.08000860931262	-4.11351543934664	0.00134525703461869	0.0121472738538029	-1.79679946085022	"Unchanged"	11700.56	9533.66	5703.4	8717.78	9709.53	5237.86	4291.61	5630.42	8080.09	4507.41
"10"	"TRINITY_DN10_c0_g2"	-0.0839536574746327	6.93043768155782	-0.720361236026971	0.484665948646459	0.648924411502174	-7.18368896396261	"Unchanged"	4054.07	2942.34	3530.26	2317.96	3734.39	2639.92	2669.02	3072.33	3935.37	2971.87
"11"	"TRINITY_DN10_c0_g3"	0.09372714051616	0.0911610604250905	0.310086062647199	0.761647092735823	0.85713138943767	-6.22259660023624	"Unchanged"	29.68	24.15	16.53	31.95	42.58	19.75	27.86	38.09	26.06	23.51
