"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","10L1brain","10L2brain","10L3brain","10L4brain","10L5brain","22L1brain","22L2brain","22L3brain","22L4brain","22L5brain"
"1","TRINITY_DN0_c1_g1",2.82341549399699,-1.17344408972138,5.3241182708911,0.000162198707393315,0.00289305622886544,0.834374576759768,10,4,4,8,2,39,33,34,25,16.79
"2","TRINITY_DN10001_c1_g1",1.73076265112011,1.88476804471352,3.77566606398664,0.00250330696569149,0.018439326560375,-1.64539168370423,35.47,49.86,71.93,48.58,76.57,336.07,55.15,303.96,216.9,110.39
"3","TRINITY_DN100055_c0_g1",2.8510705051715,-1.14919890567891,5.58652092416247,0.000105240822629257,0.00221466199804281,1.17649805543476,3,4,5,10,6,18,25,31,54,25
"4","TRINITY_DN100064_c0_g1",-4.82291862726037,-1.91607867713328,-5.72777851789506,8.37123341993656e-05,0.00193208842446341,1.04665582079524,31.31,74.92,63.83,17.24,28.25,0,1.01,1.01,1.01,0
"5","TRINITY_DN100065_c0_g1",1.78579728858643,1.39216153252454,9.83627473335628,3.26266476673902e-07,8.79848369518046e-05,7.02949203038792,34.64,42.52,41.05,26.58,46.48,162.43,111.07,123.51,131.6,101.98
"6","TRINITY_DN100079_c0_g1",1.04540131340186,1.86082385376881,3.25887142119635,0.00658146286336976,0.0352158063891352,-2.61096941224595,53,70,67,70,73,206,220,116,97,85
"7","TRINITY_DN100124_c0_g1",-3.30804204555213,-1.61812814958918,-4.78949807812392,0.000403282976629016,0.00529177259558874,-0.0675484602336427,42,35,29,13,28,0,2,1,9,3
"8","TRINITY_DN10017_c0_g2",-1.55245730778575,0.84394842999894,-4.64381208070774,0.000520346974292584,0.00633436858405093,0.0381189618477045,104,54,62,66,147.98,20.01,16,35,47.02,17
"9","TRINITY_DN100172_c0_g1",4.22660047339451,-2.17656837408432,4.6255464215311,0.000537346361552177,0.00648313847106986,-0.288534371778259,6,1,0,4,0,69,13,30,13,17
"10","TRINITY_DN100308_c0_g1",-1.00791453841876,1.68590478455358,-3.99924490512497,0.00165766163378371,0.0140024343850217,-1.22034153150524,154.19,125.9,111.7,76.24,140.18,70.35,22.64,61.81,89,61.01
"11","TRINITY_DN100327_c0_g1",1.17786144186052,-0.786719851476488,3.42125028471779,0.00485007885608374,0.0286312588765355,-1.91956290029639,9,14,6,15,12,24,19,20,17,23
"12","TRINITY_DN100369_c0_g1",-1.31699972538975,-0.648594399619138,-4.67161889867911,0.000495535439922596,0.00614219997177056,0.133346435845181,34,28,25,22,30,8,4,12,18,6
"13","TRINITY_DN100375_c0_g1",-2.00687314226971,-1.04371072432968,-3.40800248651185,0.0049721918170367,0.02915876704561,-1.91380255615249,41,32,10,21,41,11,4,2,5,6
"14","TRINITY_DN100432_c0_g1",1.17139681573008,0.0413056885461572,3.54872524847049,0.00381975411079958,0.0244545509893775,-1.79381452957152,20,9,23,22,26,28,47,49,49,24
"15","TRINITY_DN100443_c0_g1",-1.02156993029324,-0.698965911039364,-3.57949071450439,0.00360632897312367,0.0235353211542262,-1.65935704729416,22,32,21,23,22,14,8,10,10,7
"16","TRINITY_DN100470_c0_g1",1.26911275830334,-1.68056220189782,3.49280711238808,0.00424114520806541,0.0262031230549816,-1.78869813555526,8,10,4,3,6,12,9,12,13,9
"17","TRINITY_DN100489_c0_g1",-3.06532782784057,-1.36292538784337,-4.04031938878936,0.00153755485845453,0.0133043246445179,-1.01377004804266,43,19,20,24,60,0,4,2,9,4
"18","TRINITY_DN100503_c0_g1",1.23820379872605,-1.19694101928526,3.33864339421769,0.00566422026956174,0.0318711482052439,-2.02963576009297,10,6,14,3,12,15,13,15,26,12
"19","TRINITY_DN100517_c0_g1",-1.67529400338255,0.618124013540499,-5.38403146382249,0.000146819822807519,0.00272825333420394,1.27127542720073,118.87,75.13,43.19,60.8,79.99,25.39,18.31,15.3,31.3,14.2
"20","TRINITY_DN100553_c0_g1",-1.14721079118222,-1.04145006867265,-3.21085498609275,0.00720433907018233,0.037482562686892,-2.25248121848953,19.33,16.53,22.72,13.48,25.45,7.38,13.54,5.47,5,7
"21","TRINITY_DN100585_c0_g1",-2.07407296701341,-1.48112685236152,-3.11257959100614,0.00867014451683209,0.0426121919622531,-2.38235233300925,28.71,24,15.01,19,16,15.01,4,0,7,3
"22","TRINITY_DN100611_c0_g1",-2.95377510060561,-2.38748550758636,-4.75545698809672,0.000427921816298371,0.00552048202693348,-0.17229656050819,14.42,18.01,13.23,11.99,15.58,0,2.18,2.21,0,2.15
"23","TRINITY_DN100627_c0_g1",-2.50355559642071,-2.42320351655555,-3.18861120127232,0.00751266567324545,0.0385873605819396,-2.30643662154506,13,11,7,18,15,0,10,5,1,0
"24","TRINITY_DN10065_c0_g1",-1.47338252224455,1.39377835312023,-4.46922501272547,0.000708738971904904,0.00785696330139541,-0.328343113626492,84,137,160,123,81,36,35,34,28,75
"25","TRINITY_DN100667_c0_g1",2.43649903815423,-1.02681284099356,3.99788920681427,0.00166178668218337,0.0140320209124132,-0.977275871441256,3,2,12,22,8,27,29,16,38,31
"26","TRINITY_DN100767_c0_g1",3.88819087481944,-1.87715708315376,3.84580307666887,0.00219859975790245,0.0169041939745082,-1.33712172637856,1,0,8,3,3,64,27,44,12,11
"27","TRINITY_DN100780_c0_g1",-2.4101366263076,-0.870852653404408,-6.75744606785229,1.71624298047309e-05,0.000731906426907826,2.76545753667336,34,41,31,32,31,3,7,3,8,5
"28","TRINITY_DN100782_c0_g1",1.65565862643626,-0.647988541093613,3.60303435597149,0.00345123391353363,0.0228431179356601,-1.61264625144462,5.8,9.72,9.3,12.26,17.13,21.01,42.2,43.34,21.29,18.21
"29","TRINITY_DN100851_c0_g1",1.83768991542106,-0.455435429019989,5.42864725807429,0.00013636711381881,0.00259394313883234,1.28813691245762,7,14,11,13,11,54,30,32,31,25
"30","TRINITY_DN100857_c0_g1",1.02909914711524,-0.374420337428038,3.38133037347994,0.00522757474595408,0.030135324214853,-2.03752737929647,29,11,13,13,13,32,15,21,45,26
"31","TRINITY_DN100894_c0_g1",1.09222620246592,-0.865876292598928,3.13387285403432,0.00832904173876102,0.0414065160402509,-2.40114643155102,12,16,11,13,5,21,15,20,24,14
"32","TRINITY_DN100902_c0_g1",-1.76436910495364,-0.307458697457715,-7.4024919482263,6.83455118122339e-06,0.000428720403862438,3.89207392316331,46.6,37.13,36.7,42.09,36.39,11.73,6.45,10.9,11.79,8.91
"33","TRINITY_DN100920_c0_g1",1.53514243080535,-1.07510490965155,3.24739942439189,0.006725165751556,0.0357582858588227,-2.18265268342423,12,4,16,5,8,17,9,18,50,16
"34","TRINITY_DN100938_c0_g1",-1.41161664345962,-0.0759003457856719,-3.38181042987339,0.00522286288614867,0.0301151264704105,-2.06129141123726,67.25,20.08,27.05,46.57,69.13,21.07,6.02,14.08,18.07,10.04
"35","TRINITY_DN101013_c0_g1",-2.29576967937618,0.142331915199618,-9.08682309388853,7.79419870430992e-07,0.000133228297645252,5.80819726441518,79.16,58.48,52.04,52.51,82.41,16.21,7.46,10.7,12.79,10.54
"36","TRINITY_DN101024_c0_g1",-1.24841664128234,1.81298858210688,-4.35234936054492,0.000873436933277148,0.00904376151468411,-0.599618960796253,134.84,148.22,176.29,77.17,198.06,47.07,28.55,54.15,111.71,68.71
"37","TRINITY_DN10109_c1_g5",1.56186365908353,-1.4959241517767,4.57865095917029,0.000583691309189246,0.00690034689044616,-0.143431548110765,6.02,5.06,5.14,4.88,8.02,15.01,15.05,11.5,15,14.01
"38","TRINITY_DN101108_c0_g1",-1.6898953118085,-1.06002670150366,-4.36808261914245,0.000849130619769057,0.00886734484876902,-0.384500578080416,32,21,26,15,25,15,3,8,4,3
"39","TRINITY_DN101117_c0_g1",-1.84619196701809,-1.17012912760863,-3.1072902735362,0.00875702372028162,0.0429266375149655,-2.39903820837049,33,16,31,17,24,10,9,8,9,0
"40","TRINITY_DN101118_c0_g1",2.76924384293318,-1.03316566111439,4.41816773327456,0.000776319823164344,0.00833014897636936,-0.359781924483649,11,7,9,7,1,53,17,43,29,23
"41","TRINITY_DN101171_c0_g1",2.38039872354701,0.506474064693893,8.82565179423871,1.06950298293607e-06,0.000153653983309257,5.7212423276536,17,15,13,14,29,103,97,72,79,65
"42","TRINITY_DN101198_c0_g1",1.59909339917647,1.08106717088784,5.9435023190495,5.93391161180292e-05,0.00156719877991761,2.1245812566907,48.57,34.64,16.69,23.76,53.69,106.3,65.5,106.35,120.79,76.57
"43","TRINITY_DN101224_c0_g1",-3.21151048655821,-1.47058628287419,-5.47235957440111,0.000126882434817874,0.00248740464922355,0.78455114123646,26,47,28,35,20,3,1,1,4,2
"44","TRINITY_DN101231_c0_g1",1.80655851764998,-0.409729646177174,4.35282076415689,0.00087269827808786,0.00904315677769987,-0.37245822117359,10.35,3.08,13.77,20.39,19.38,45.07,26.5,36.95,42,24.79
"45","TRINITY_DN101366_c0_g1",1.37181617612672,0.95330070359457,4.3836837769925,0.000825720263436156,0.00870104254768181,-0.42757960189073,33,36,27,39,29,47,99,73,147,57
"46","TRINITY_DN101376_c0_g1",1.37273076798757,-1.01817799291437,3.80042081337651,0.00239110414491421,0.0178716214297463,-1.27578993542136,7,5,15,13,8,20,16,18,28,13
"47","TRINITY_DN10143_c0_g1",-2.15429756089536,0.257612427344839,-6.47539977012859,2.61118869353566e-05,0.000960705460803198,2.85433991751465,92.31,53.81,81.56,44.58,74.37,8.64,6.48,20.22,32.14,7.48
"48","TRINITY_DN101472_c0_g1",-2.24989929795538,-1.37448349501856,-3.28707094338074,0.00624123491145264,0.0339936943123182,-2.10850060005442,18,21,11,26,51,1,4,2,5,11
"49","TRINITY_DN101477_c0_g1",-1.24883955360281,1.08215480831537,-6.70482230992632,1.85453299678341e-05,0.000768528956680328,3.24191972486574,87,105,81,64,93,32,26,30,45,36
"50","TRINITY_DN101483_c0_g1",1.745024943814,-1.65004398209124,3.98640788102166,0.00169714791352382,0.01423417142209,-1.0527643344664,6,3,11,2,7,13,17,13,15,11
"51","TRINITY_DN10149_c0_g1",-1.94098282949293,1.33520526115043,-8.69411586863871,1.25760076766578e-06,0.000164987292290637,5.78130530384179,162,125,109,87,168,28,31,29,35,34.15
"52","TRINITY_DN101543_c0_g1",-1.56534656887299,-0.850771759514692,-4.52960541490923,0.000636631956273523,0.00732979632099455,-0.108795037294966,25,18,30,20,41,11,5,9,7,4
"53","TRINITY_DN101599_c0_g1",2.57374894388766,-1.17677843921873,5.18710909022972,0.000204078067241963,0.00338003451369221,0.693076879981134,6.96,2.4,7.42,3.22,9.04,26.68,14.69,28.97,56.9,16.8
