"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"1"	"TRINITY_DN0_c0_g1"	0.317242521690931	1.51024286119224	1.18481305882879	0.259391858299853	0.441838818179711	-5.84689034693706	"Unchanged"	82.94	84.17	82.33	41.66	68.6	70.94	86.85	50.44	108.86	127.21
"2"	"TRINITY_DN0_c0_g2"	-0.110896777668546	2.05663998794791	-0.705190318550433	0.494368972855905	0.666247570782305	-6.41860453195926	"Unchanged"	126.62	129.65	97.98	103.16	136.99	134.56	94.64	119.2	111.1	80.11
"3"	"TRINITY_DN0_c0_g3"	1.02496838411438	2.26867090327514	2.642809723466	0.0217142168827593	0.0853309887807294	-3.79208634156043	"Unchanged"	49.93	68.57	133.14	115.94	132.17	305.84	152.1	144.1	120.25	276.37
"4"	"TRINITY_DN0_c1_g1"	0.421194202855329	2.84224594900414	1.38160075307106	0.192677767943874	0.364018117360522	-5.90444669159772	"Unchanged"	102.89	113.97	239.41	181.1	266.42	206.86	352.81	229.86	243.88	140.9
"5"	"TRINITY_DN0_c1_g2"	1.6498415488835	-1.89013460573303	2.76227644098255	0.0174327786416051	0.0739410734265731	-2.96639774037826	"Unchanged"	3.78	10.54	2.43	10.57	2.82	19.91	5.93	10.77	10.87	10.13
"6"	"TRINITY_DN0_c2_g1"	0.152838626062838	3.58665821415584	0.818978635786443	0.429019403647119	0.609379769679661	-6.6572140211845	"Unchanged"	403.89	366.53	220.29	340.8	248.17	323.42	358.73	354.23	357.77	321.64
"7"	"TRINITY_DN0_c3_g1"	-0.330596462719323	4.00309728680612	-1.92473600166106	0.0786907056090156	0.201461967333747	-5.34923311245627	"Unchanged"	620.89	547.7	368.06	470.75	476.77	372.24	369.1	345.45	614.24	285.98
"8"	"TRINITY_DN0_c4_g1"	0.290462500597845	2.04084412060257	1.79960914789097	0.0975074630492107	0.2320634254013	-5.14988070976931	"Unchanged"	94.3	104.4	121.71	98.22	93.59	118.79	94.95	134.17	120.27	145.97
"9"	"TRINITY_DN0_c5_g1"	0.491097680776063	4.7326737164559	2.34130983990277	0.0376159743380291	0.123198121197637	-4.77145114660493	"Unchanged"	897.76	616.02	547.04	408.35	664.45	1076.95	1055.8	603.98	852.88	765.28
"10"	"TRINITY_DN1_c0_g1"	0.204392371830783	3.54066058021774	1.43277341473738	0.177864233536407	0.345228242785996	-5.98167188068946	"Unchanged"	242.73	296.36	351.53	316.06	274.68	448.31	305.92	313.85	379.45	265.04
"11"	"TRINITY_DN1_c0_g2"	0.311549043468842	5.37932937332312	4.11160024117572	0.00149071175990405	0.014655235368865	-1.62906766770334	"Unchanged"	1056.89	994.92	1118	810.89	1137.53	1264.95	1186.47	1287.78	1376	1121.17
"12"	"TRINITY_DN1_c1_g1"	0.159242602880578	6.36442380317207	1.3374626958198	0.206265304645869	0.380617669822716	-6.47224296468455	"Unchanged"	2271.56	1996.21	1889.51	2096.98	2457.8	2364.66	2445.08	2377.87	2084.9	2439.93
"13"	"TRINITY_DN10_c0_g1"	-0.0466304648705783	6.4347004130302	-0.737149213629513	0.475425431472553	0.64943352478384	-7.09109049851272	"Unchanged"	2512.81	2238.42	2304.46	2423.66	2529.44	2263.72	2079.49	2338.97	2555.67	2197.66
"14"	"TRINITY_DN10_c1_g1"	-0.47791494419731	-0.170554497201383	-0.510347357110549	0.619214073531137	0.763056520237438	-6.01604440926684	"Unchanged"	61.87	73.39	3.07	59.64	25.69	32.65	55.31	12.95	29.94	2.04
"15"	"TRINITY_DN10_c1_g2"	-0.237780687689443	6.03688718341198	-2.05095618386491	0.0631428005470001	0.174247630530563	-5.39967495718251	"Unchanged"	1890.11	1731.91	2653.55	1758.53	1815.64	1604.42	1209.28	1844.7	2142.85	1441.87
"16"	"TRINITY_DN10_c2_g1"	-0.0306247059789867	0.939695528180411	-0.173406946175888	0.865268853553222	0.925727314985569	-6.40025267670853	"Unchanged"	60	43	65	49	56	53.25	53.25	44	64.28	35
"17"	"TRINITY_DN10_c3_g1"	-0.580397052561118	2.83410796817962	-5.24479824315066	0.000217474924183769	0.00421860576368228	0.693025606798741	"Unchanged"	249.61	228.11	238.4	224.27	243.24	159.39	106.38	173.92	199.75	156.66
"18"	"TRINITY_DN10_c4_g1"	-2.58998933795344	0.84755923411794	-2.85239698630719	0.014765602317907	0.0661421424771449	-3.08604536197205	"Unchanged"	123.24	124.23	112	105.08	139.18	81.56	26.33	0	56.47	40.98
"19"	"TRINITY_DN100_c0_g1"	0.649627080380852	3.17433807649248	5.14320938423918	0.000256613937464847	0.00465799005851222	0.472788328749838	"Unchanged"	237.08	180.98	225.55	130.59	217.54	306.97	245.46	300.32	390.91	304.32
"20"	"TRINITY_DN100_c0_g2"	0.749845398645818	-0.483966619501622	1.0746097236453	0.304019444517176	0.490632877468781	-5.50229113291567	"Unchanged"	31.5	31.18	10.62	15.19	7.36	72.56	19.4	47.83	20.86	3.55
"21"	"TRINITY_DN100_c1_g1"	-0.638143619907233	2.01495829282879	-1.41519271002204	0.1828420420126	0.351624540426611	-5.67680203618414	"Unchanged"	341.25	65.08	122.32	66	256.93	102.29	60	141.82	88.92	61.99
"22"	"TRINITY_DN100_c2_g1"	-0.415958212603274	-0.293859083981179	-0.920355227819349	0.375808197615895	0.560877609261956	-5.7006168972004	"Unchanged"	52.35	21.72	40.13	7.27	37.31	31.15	12.32	12.19	22.04	14.6
"23"	"TRINITY_DN1000_c0_g1"	0.34155578989837	7.35741409155737	4.9004082361529	0.000383342985524717	0.00602421075530665	-0.392034803642836	"Unchanged"	3947.82	3677.01	4591.4	3651.14	4181.69	5344.52	3974.42	5607.12	5960.09	4618.06
"24"	"TRINITY_DN1000_c1_g1"	-0.0925264235829487	3.79466708039405	-0.830219521310456	0.422884044433958	0.604090294190227	-6.68658439010189	"Unchanged"	426.58	383.16	394.44	328.68	418.91	320.97	276	407.78	525.1	326.3
"25"	"TRINITY_DN1000_c2_g1"	-0.170023690705224	7.32594934269127	-2.29418083938048	0.0409525140721651	0.130577684328928	-5.10274269393228	"Unchanged"	5242.89	4207.35	4621.09	4341.26	4758.03	4200.01	3168	4149.99	5100.05	3802.95
"26"	"TRINITY_DN10000_c0_g1"	0.274218776518781	1.96061547403623	1.45410538272013	0.171977912170836	0.337752931948381	-5.62011531737081	"Unchanged"	141.38	94.53	71.11	91.56	97.03	108.46	109.89	89.65	159.05	111.77
"27"	"TRINITY_DN10001_c0_g1"	0.750658533056048	4.52945824016472	5.01509196639037	0.000316820384122179	0.00535429036863602	0.0630300207160834	"Unchanged"	377.13	537.01	638.18	418.01	482.57	927.82	821.35	882.84	777.24	648.84
"28"	"TRINITY_DN100014_c0_g1"	-1.28712716191815	-1.75089877994627	-2.9680799700659	0.0119281393889842	0.0572067777510473	-2.66040271993044	"Unchanged"	20.7	13.39	10.69	10.98	13.57	3.52	1.37	3.7	4.71	7.13
"29"	"TRINITY_DN10002_c0_g1"	-0.114572612326213	3.72516187009491	-0.38385634103064	0.707907724332414	0.824842588884076	-6.95534606969666	"Unchanged"	410.79	454.95	179.03	467.43	460.26	326.02	479.93	382.45	356.17	224.34
"30"	"TRINITY_DN10002_c1_g1"	0.447577889631768	-0.993962212888388	0.705374435110559	0.494258542903878	0.666173158011406	-5.66170369932745	"Unchanged"	13.03	5.55	18.24	33.56	7.23	6.75	33.42	10.58	10	26.75
"31"	"TRINITY_DN100037_c0_g1"	-1.01912006616721	-0.880593162670338	-3.09210328646499	0.00948849572553512	0.0491520335849748	-2.47043800808532	"Down-regulated"	32.56	18.92	20.83	14.69	26.14	7.56	8.3	4.64	12.73	13.79
"32"	"TRINITY_DN10004_c0_g2"	0.125635825551527	1.54735953706893	0.814662729111301	0.431390541803915	0.611587998847913	-6.21786189186385	"Unchanged"	75.89	65.4	85.81	79.14	79.76	78.2	84.18	83.05	80.9	77.99
"33"	"TRINITY_DN10005_c0_g1"	0.536226428662503	0.0397666062990599	1.22192101005211	0.245571948407867	0.426383405372435	-5.47175059541547	"Unchanged"	9.84	39.85	38.11	31.51	21.97	43.12	14.56	42.27	38.16	25.92
"34"	"TRINITY_DN10006_c0_g1"	0.108056931592649	5.21131796358279	1.6374939759267	0.127881986622905	0.277771237932334	-5.95513329599961	"Unchanged"	1013	911	1033	898	1007	1111	939	1105	1132	897
"35"	"TRINITY_DN10008_c0_g1"	0.180769324640937	3.68665448670512	1.21756711848163	0.247162646635147	0.42806769139338	-6.27593936481126	"Unchanged"	305.17	266.36	311.98	356.1	404.62	388.96	335.87	367.18	344.92	426.21
"36"	"TRINITY_DN10008_c2_g1"	-0.399153866275346	3.66220072381497	-3.59604934899494	0.00376420199026817	0.0270063655043812	-2.33770950831625	"Unchanged"	400.67	380.03	393.33	377.94	425.82	303.67	211.65	299.24	448.59	263.73
"37"	"TRINITY_DN10008_c2_g2"	-0.150931390602631	4.66184612122709	-1.31636643762899	0.21303251354207	0.388521735406144	-6.31743133705725	"Unchanged"	667.37	545.25	827.13	756.47	887	742.72	555.57	624.34	751.07	575.2
"38"	"TRINITY_DN10009_c0_g1"	-0.866151460721461	2.97657685698887	-5.42430123343239	0.000162913491912532	0.00351501289432692	0.970704631631335	"Unchanged"	289.7	359	299.16	245.25	268.31	176.28	111.51	153.08	255.56	115.19
"39"	"TRINITY_DN10009_c1_g1"	-0.876814797417077	3.31174751372428	-2.61985998210663	0.0226478405738075	0.0876514780085121	-4.03993191368365	"Unchanged"	512.95	268.25	230.11	533.18	389.4	207.99	230.49	290.1	267.91	76.61
"40"	"TRINITY_DN1001_c2_g1"	-0.025281835456453	4.65552222888072	-0.315481220503703	0.757902633622638	0.858829480467373	-7.13525072154786	"Unchanged"	749.1	705.76	648.83	643.05	720.32	727.19	604.91	643.2	746.38	643.21
"41"	"TRINITY_DN10010_c0_g1"	-0.281452298032966	3.16408828571873	-1.95566589270743	0.0745834769668379	0.194369820279588	-5.14451521738303	"Unchanged"	292	271	218	235.19	337	219	230.03	197	293	172
"42"	"TRINITY_DN10011_c0_g1"	-0.201103749016826	2.96946014996104	-1.18681171682379	0.258632275037316	0.440980603215579	-6.16751115191565	"Unchanged"	284.31	175	260.09	157.42	291.8	169.61	163.17	220.73	292.14	165.35
"43"	"TRINITY_DN10012_c0_g1"	0.106178272494819	5.10120101356581	1.1962985788968	0.255050582094783	0.437010318895649	-6.51708262511551	"Unchanged"	896.22	859.93	971.13	931.93	854	1008.05	941.13	1013.84	977.1	858.96
"44"	"TRINITY_DN10013_c0_g1"	0.232535782360289	2.29826512825437	1.25918174019195	0.232289120193001	0.411457449117119	-5.93850887227878	"Unchanged"	114.21	111.95	132.5	116.39	149.38	214.77	82.04	144.25	160.58	141.08
"45"	"TRINITY_DN10015_c0_g1"	0.073479330905648	3.48651543882856	0.751503853052348	0.467065126903515	0.64226757686823	-6.6921263206043	"Unchanged"	280.66	276.21	287.78	321.71	315.33	323.78	289.73	297.48	360.21	286.49
"46"	"TRINITY_DN10015_c0_g2"	-0.00649254688070456	-0.9694873696366	-0.0144889641422597	0.988681826998573	0.994062582673708	-5.93097925243811	"Unchanged"	10.9	20.79	12.01	18.29	14.56	15.22	10.27	21.85	5.79	13.94
"47"	"TRINITY_DN10016_c0_g1"	-0.215691081138509	4.14309591728666	-2.07690730981776	0.0603230330811444	0.168929529706711	-5.12949047631599	"Unchanged"	434.01	517	573	485	585.01	447.68	394.01	470	472	437
"48"	"TRINITY_DN10017_c0_g1"	0.274431970823085	6.16539966372933	3.89034574082125	0.00221136103765812	0.018964910894113	-2.10377985939889	"Unchanged"	1728.99	1701.37	1923.65	1795.38	1765.57	2124.69	2067.83	2275.25	2358.75	1821.65
"49"	"TRINITY_DN10017_c1_g1"	-0.779887389831899	2.66864571288802	-4.46912034982783	0.000797617338407155	0.00964756404214453	-0.594370606132874	"Unchanged"	182.33	245.45	283.59	235.78	202.43	161.65	94.65	153.72	164.63	89.98
"50"	"TRINITY_DN10017_c2_g1"	0.471017671929138	-0.192806458409348	1.49262491889427	0.161766267452761	0.32405955514293	-5.09477122922985	"Unchanged"	20.2	14.55	24.06	26.34	22.91	35.86	36.64	16.36	23.22	23.24
