"10L1brain"	"10L1heart"	"10L2brain"	"10L2heart"	"10L3brain"	"10L3heart"	"10L4brain"	"10L4heart"	"10L5brain"	"10L5heart"	"10N1brain"	"10N1heart"	"10N2brain"	"10N2heart"	"10N3brain"	"10N3heart"	"10N4brain"	"10N4heart"	"10N5brain"	"10N5heart"	"22L1brain"	"22L1heart"	"22L2brain"	"22L2heart"	"22L3brain"	"22L3heart"	"22L4brain"	"22L4heart"	"22L5brain"	"22L5heart"	"22N1brain"	"22N1heart"	"22N2brain"	"22N2heart"	"22N3brain"	"22N3heart"	"22N4brain"	"22N4heart"	"22N5brain"	"22N5heart"
"TRINITY_DN0_c0_g1"	3272	843	3536	233	2924	224	3235	158	3989	257	4143.33	180	5079.21	413	5342	149	6143	400	6149	339	4085	293	4553	212	5235	165	4307	160	4333	171	4762	529	5162	508	4929	403	4348	254	4500	350
"TRINITY_DN0_c1_g1"	10	13368.44	4	17309.66	4	13610.91	8	13465.1	2	12302.97	130	15860.34	12	19570.92	11	16823.79	2	13329.23	17.07	13750.52	39	17715.82	33	34374.75	34	47331.29	25	22815.44	16.79	31310.99	61	24018.18	23	19833.82	30.04	32583.31	21	36358.64	22	26062.31
"TRINITY_DN0_c2_g1"	0	31	0	38	0	23	1	10	0	34	1	61	0	60	2	66	0	13	1	39	0	29	0	65	0	119	0	42	0	26	1	58	0	41	0	75	0	81	0	34
"TRINITY_DN100000_c0_g1"	1	4	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRINITY_DN100001_c0_g1"	0	1	1	2	0	5	0	8	0	1	1	0	1	4	0	2	0	2	1	2	0	1	3	0	3	2	1	1	1	1	1	0	0	2	0	0	0	4	0	0
"TRINITY_DN100002_c0_g1"	3	0	3	1	5.29	11.01	3	3	1	4	20	28	3	15	4	22	3	21	9	36	7	3	2	1	3	1	1	1	0	0	4	6	2	10	2	1	5	5	1	3
"TRINITY_DN100004_c0_g1"	0	0	0	0	1	0	1	0	0	0	1	0	0	0	4	0	1	0	0	0	1	0	2	0	1	0	1	0	0	0	3	0	7	0	2	0	2	0	0	0
"TRINITY_DN100005_c0_g1"	3.92	13.06	3.82	2.37	4.51	1.44	4.87	0	3.66	2.5	18.71	7.4	8.75	18.86	6.28	6.87	21.55	21.19	7.24	30.39	3.49	3.89	0	2.89	5.34	9.51	6.83	0	3.62	2.36	11.5	5.27	8.33	2.58	3.49	7.28	2.71	7.77	7.94	10.22
"TRINITY_DN100006_c0_g1"	11	22	5	35	11	9	4	29	2	5	123	70	14	52	17	55	0	26	22	51	12	20	2	24	2	17	5	7	2	13	12	5	8	18	10	26	10	14	6	34
"TRINITY_DN100007_c0_g1"	24	0	18	0	19	0	10	0	22	0	10	0	8	0	13	0	21	0	23	0	12	0	4	0	18	0	12	0	13	0	18	0	14	0	4	0	15	0	15	0
